nohup: ignoring input
2026-03-04 04:17:13,681 [INFO] 🍄 Starting Batch 5 Downloader (Species 21-25)...
2026-03-04 04:17:13,682 [INFO] 
🚀 Starting Batch 5: 21)_blushing_bracket (ID: 124102)
2026-03-04 04:18:13,853 [INFO]    ✅ 21)_blushing_bracket: 25/600
2026-03-04 04:19:12,776 [INFO]    ✅ 21)_blushing_bracket: 50/600
2026-03-04 04:20:25,652 [INFO]    ✅ 21)_blushing_bracket: 75/600
2026-03-04 04:21:21,711 [INFO]    ✅ 21)_blushing_bracket: 100/600
2026-03-04 04:22:33,146 [INFO]    ✅ 21)_blushing_bracket: 125/600
2026-03-04 04:23:47,285 [INFO]    ✅ 21)_blushing_bracket: 150/600
2026-03-04 04:24:55,084 [INFO]    ✅ 21)_blushing_bracket: 175/600
2026-03-04 04:26:01,974 [INFO]    ✅ 21)_blushing_bracket: 200/600
2026-03-04 04:27:02,515 [INFO]    ✅ 21)_blushing_bracket: 225/600
2026-03-04 04:27:50,482 [INFO]    ✅ 21)_blushing_bracket: 250/600
2026-03-04 04:28:50,485 [INFO]    ✅ 21)_blushing_bracket: 275/600
2026-03-04 04:29:49,544 [INFO]    ✅ 21)_blushing_bracket: 300/600
2026-03-04 04:30:44,321 [INFO]    ✅ 21)_blushing_bracket: 325/600
2026-03-04 04:31:41,690 [INFO]    ✅ 21)_blushing_bracket: 350/600
2026-03-04 04:33:04,305 [INFO]    ✅ 21)_blushing_bracket: 375/600
2026-03-04 04:34:16,291 [INFO]    ✅ 21)_blushing_bracket: 400/600
2026-03-04 04:40:22,919 [INFO]    ✅ 21)_blushing_bracket: 425/600
2026-03-04 04:42:35,849 [INFO]    ✅ 21)_blushing_bracket: 450/600
2026-03-04 04:43:37,399 [INFO]    ✅ 21)_blushing_bracket: 475/600
2026-03-04 04:45:10,405 [INFO]    ✅ 21)_blushing_bracket: 500/600
2026-03-04 04:46:30,333 [INFO]    ✅ 21)_blushing_bracket: 525/600
